date,game_pk,game_type,status,coded_state,home_team_id,home,home_zh,away_team_id,away,away_zh,home_score,away_score,home_win,home_probable_pitcher_id,home_probable_pitcher,home_probable_pitcher_zh,away_probable_pitcher_id,away_probable_pitcher,away_probable_pitcher_zh
2024-03-20,745444,R,Final,F,135,San Diego Padres,聖地牙哥教士,119,Los Angeles Dodgers,洛杉磯道奇,2,5,False,506433,Yu Darvish,達比修有,607192,Tyler Glasnow,泰勒 葛拉斯諾
2024-03-21,746175,R,Final,F,119,Los Angeles Dodgers,洛杉磯道奇,135,San Diego Padres,聖地牙哥教士,11,15,False,808967,Yoshinobu Yamamoto,山本由伸,605397,Joe Musgrove,喬 維
2024-03-28,745039,R,Final,F,140,Texas Rangers,德州遊騎兵,112,Chicago Cubs,芝加哥小熊,4,3,True,543135,Nathan Eovaldi,奈森 伊瓦迪,657006,Justin Steele,賈斯汀 史提爾
2024-03-28,745116,R,Final,F,139,Tampa Bay Rays,坦帕灣光芒,141,Toronto Blue Jays,多倫多藍鳥,2,8,False,621107,Zach Eflin,札查 艾,621244,José Berríos,荷西 貝里歐斯
2024-03-28,745283,R,Final,F,136,Seattle Mariners,西雅圖水手,111,Boston Red Sox,波士頓紅襪,4,6,False,622491,Luis Castillo,路易斯 卡史,678394,Brayan Bello,布 貝
2024-03-28,745445,R,Final,F,135,San Diego Padres,聖地牙哥教士,137,San Francisco Giants,舊金山巨人,6,4,True,506433,Yu Darvish,達比修有,657277,Logan Webb,羅根 韋伯
2024-03-28,745687,R,Final,F,133,Oakland Athletics,Oakland Athletics,114,Cleveland Guardians,克里夫蘭守護者,0,8,False,622072,Alex Wood,亞歷克斯 沃歐歐德,669456,Shane Bieber,謝恩 比貝
2024-03-28,746089,R,Final,F,146,Miami Marlins,邁阿密馬林魚,134,Pittsburgh Pirates,匹茲堡海盜,5,6,False,666200,Jesús Luzardo,赫蘇斯 路札,656605,Mitch Keller,米 凱勒
2024-03-28,746165,R,Final,F,119,Los Angeles Dodgers,洛杉磯道奇,138,St. Louis Cardinals,聖路易紅雀,7,1,True,607192,Tyler Glasnow,泰勒 葛拉斯諾,571945,Miles Mikolas,麥爾斯 米柯拉
2024-03-28,746335,R,Final,F,118,Kansas City Royals,堪薩斯市皇家,142,Minnesota Twins,明尼蘇達雙城,1,4,False,666142,Cole Ragans,柯爾 雷根斯,641154,Pablo López,帕布羅 羅培茲
2024-03-28,746418,R,Final,F,117,Houston Astros,休士頓太空人,147,New York Yankees,紐約洋基,4,5,False,664285,Framber Valdez,弗蘭伯 瓦德茲,641482,Nestor Cortes,內史 柯
2024-03-28,746737,R,Final,F,113,Cincinnati Reds,辛辛那提紅人,120,Washington Nationals,華盛頓國民,8,2,True,593423,Frankie Montas,夫爾阿恩克伊伊 莫,680686,Josiah Gray,喬西 葛雷
2024-03-28,746821,R,Final,F,145,Chicago White Sox,芝加哥白襪,116,Detroit Tigers,底特律老虎,0,1,False,676979,Garrett Crochet,加 查,669373,Tarik Skubal,塔里克 史庫柏
2024-03-28,747060,R,Final,F,110,Baltimore Orioles,巴爾的摩金鶯,108,Los Angeles Angels,洛杉磯天使,11,3,True,669203,Corbin Burnes,柯賓 伯恩斯,663776,Patrick Sandoval,帕崔 薩瓦
2024-03-28,747224,R,Final,F,109,Arizona Diamondbacks,亞利桑那響尾蛇,115,Colorado Rockies,科羅拉多洛磯,16,1,True,668678,Zac Gallen,札 加,607536,Kyle Freeland,凱爾 拉
2024-03-29,745117,R,Final,F,139,Tampa Bay Rays,坦帕灣光芒,141,Toronto Blue Jays,多倫多藍鳥,8,2,True,650644,Aaron Civale,亞倫 西瓦雷,605135,Chris Bassitt,克里斯 巴希特
2024-03-29,745276,R,Final,F,136,Seattle Mariners,西雅圖水手,111,Boston Red Sox,波士頓紅襪,1,0,True,669923,George Kirby,傑 柯比,601713,Nick Pivetta,尼克 皮維
2024-03-29,745435,R,Final,F,135,San Diego Padres,聖地牙哥教士,137,San Francisco Giants,舊金山巨人,3,8,False,605397,Joe Musgrove,喬 維,690986,Kyle Harrison,凱爾 哈索
