date,game_pk,matchup_zh,predicted_total,actual_total,absolute_error,signed_error
2026-03-25,823244,紐約洋基 @ 舊金山巨人,9.16,7.0,2.16,2.16
2026-03-26,823081,坦帕灣光芒 @ 聖路易紅雀,8.38,16.0,7.62,-7.62
2026-03-26,823163,克里夫蘭守護者 @ 西雅圖水手,8.25,10.0,1.75,-1.75
2026-03-26,823325,底特律老虎 @ 聖地牙哥教士,8.37,10.0,1.63,-1.63
2026-03-26,823486,德州遊騎兵 @ 費城費城人,8.55,8.0,0.55,0.55
2026-03-26,823649,匹茲堡海盜 @ 紐約大都會,8.15,18.0,9.85,-9.85
2026-03-26,823812,芝加哥白襪 @ 密爾瓦基釀酒人,8.24,16.0,7.76,-7.76
2026-03-26,823974,亞利桑那響尾蛇 @ 洛杉磯道奇,9.47,10.0,0.53,-0.53
2026-03-26,824218,洛杉磯天使 @ 休士頓太空人,8.7,3.0,5.7,5.7
2026-03-26,824541,波士頓紅襪 @ 辛辛那提紅人,7.99,3.0,4.99,4.99
2026-03-26,824704,華盛頓國民 @ 芝加哥小熊,9.19,14.0,4.81,-4.81
2026-03-26,824865,明尼蘇達雙城 @ 巴爾的摩金鶯,8.42,3.0,5.42,5.42
2026-03-27,822839,運動家 @ 多倫多藍鳥,8.72,5.0,3.72,3.72
2026-03-27,823162,克里夫蘭守護者 @ 西雅圖水手,8.03,6.0,2.03,2.03
2026-03-27,823243,紐約洋基 @ 舊金山巨人,9.16,3.0,6.16,6.16
2026-03-27,823324,底特律老虎 @ 聖地牙哥教士,8.43,7.0,1.43,1.43
2026-03-27,823893,科羅拉多洛磯 @ 邁阿密馬林魚,9.06,3.0,6.06,6.06
2026-03-27,823971,亞利桑那響尾蛇 @ 洛杉磯道奇,9.57,9.0,0.57,0.57
2026-03-27,824216,洛杉磯天使 @ 休士頓太空人,8.5,8.0,0.5,0.5
2026-03-27,824946,堪薩斯市皇家 @ 亞特蘭大勇士,9.11,6.0,3.11,3.11
2026-03-28,822838,運動家 @ 多倫多藍鳥,8.42,15.0,6.58,-6.58
2026-03-28,823082,坦帕灣光芒 @ 聖路易紅雀,8.75,11.0,2.25,-2.25
2026-03-28,823161,克里夫蘭守護者 @ 西雅圖水手,8.09,11.0,2.91,-2.91
2026-03-28,823241,紐約洋基 @ 舊金山巨人,8.8,4.0,4.8,4.8
