date,game_pk,game_time_tw,game_time_utc,sportsbook,captured_at_tw,matchup_zh,prediction_zh,score_pick_zh,score_alignment,monte_carlo_totals_pick_zh,official_totals_pick_zh,totals_alignment,moneyline,confidence,market_implied_prob,edge,unit,status,settlement,skip_reason,ticket_tier
2026-07-07,823929,2026-07-08 10:10,2026-07-08T02:10:00Z,,,科羅拉多洛磯 @ 洛杉磯道奇,洛杉磯道奇,科羅拉多洛磯,模型分歧,小分,大分,大小分分歧,,0.6733,,,,Scheduled,,勝方模型與比分模型分歧,觀察
2026-07-07,822881,2026-07-08 08:05,2026-07-08T00:05:00Z,,,洛杉磯天使 @ 德州遊騎兵,德州遊騎兵,洛杉磯天使,模型分歧,小分,大分,大小分分歧,,0.5819,,,,Scheduled,,勝方模型與比分模型分歧,觀察
2026-07-07,824254,2026-07-08 06:40,2026-07-07T22:40:00Z,,,運動家 @ 底特律老虎,底特律老虎,運動家,模型分歧,大分,大分,接近盤口,,0.5664,,,,Scheduled,,勝方模型與比分模型分歧,觀察
2026-07-07,823062,2026-07-08 02:15,2026-07-07T18:15:00Z,,,密爾瓦基釀酒人 @ 聖路易紅雀,密爾瓦基釀酒人,聖路易紅雀,模型分歧,小分,大分,大小分分歧,,0.5453,,,,Scheduled,,勝方模型與比分模型分歧,觀察
2026-07-07,823035,2026-07-08 07:45,2026-07-07T23:45:00Z,,,密爾瓦基釀酒人 @ 聖路易紅雀,密爾瓦基釀酒人,聖路易紅雀,模型分歧,小分,大分,大小分分歧,,0.5453,,,,Scheduled,,勝方模型與比分模型分歧,觀察
2026-07-07,824820,2026-07-08 06:35,2026-07-07T22:35:00Z,,,芝加哥小熊 @ 巴爾的摩金鶯,芝加哥小熊,芝加哥小熊,一致,小分,大分,大小分分歧,,0.5447,,,,Scheduled,,大小分模型分歧,觀察
2026-07-07,823607,2026-07-08 07:10,2026-07-07T23:10:00Z,,,堪薩斯市皇家 @ 紐約大都會,紐約大都會,堪薩斯市皇家,模型分歧,小分,大分,大小分分歧,,0.5307,,,,Scheduled,,勝方模型與比分模型分歧,觀察
2026-07-07,823280,2026-07-08 09:40,2026-07-08T01:40:00Z,,,亞利桑那響尾蛇 @ 聖地牙哥教士,聖地牙哥教士,亞利桑那響尾蛇,模型分歧,小分,大分,大小分分歧,,0.5299,,,,Scheduled,,勝方模型與比分模型分歧,觀察
2026-07-07,824579,2026-07-08 07:40,2026-07-07T23:40:00Z,,,波士頓紅襪 @ 芝加哥白襪,波士頓紅襪,芝加哥白襪,模型分歧,小分,大分,大小分分歧,,0.5179,,,,Scheduled,,勝方模型與比分模型分歧,觀察
2026-07-07,822713,2026-07-08 06:45,2026-07-07T22:45:00Z,,,休士頓太空人 @ 華盛頓國民,休士頓太空人,華盛頓國民,模型分歧,小分,大分,大小分分歧,,0.5136,,,,Scheduled,,勝方模型與比分模型分歧,觀察
2026-07-07,823847,2026-07-08 06:40,2026-07-07T22:40:00Z,,,西雅圖水手 @ 邁阿密馬林魚,西雅圖水手,邁阿密馬林魚,模型分歧,小分,大分,大小分分歧,,0.5131,,,,Scheduled,,勝方模型與比分模型分歧,觀察
2026-07-07,822956,2026-07-08 06:40,2026-07-07T22:40:00Z,,,紐約洋基 @ 坦帕灣光芒,紐約洋基,紐約洋基,一致,小分,大分,大小分分歧,,0.5112,,,,Scheduled,,大小分模型分歧,觀察
2026-07-07,824495,2026-07-08 07:10,2026-07-07T23:10:00Z,,,費城費城人 @ 辛辛那提紅人,費城費城人,費城費城人,一致,小分,大分,大小分分歧,,0.5097,,,,Scheduled,,大小分模型分歧,觀察
2026-07-07,823203,2026-07-08 09:45,2026-07-08T01:45:00Z,,,多倫多藍鳥 @ 舊金山巨人,舊金山巨人,舊金山巨人,一致,小分,大分,大小分分歧,,0.5083,,,,Scheduled,,大小分模型分歧,觀察
2026-07-07,823361,2026-07-08 06:40,2026-07-07T22:40:00Z,,,亞特蘭大勇士 @ 匹茲堡海盜,亞特蘭大勇士,匹茲堡海盜,模型分歧,小分,大分,大小分分歧,,0.5024,,,,Scheduled,,勝方模型與比分模型分歧,觀察
2026-07-07,823687,2026-07-08 07:40,2026-07-07T23:40:00Z,,,克里夫蘭守護者 @ 明尼蘇達雙城,明尼蘇達雙城,明尼蘇達雙城,一致,小分,大分,大小分分歧,,0.5013,,,,Scheduled,,大小分模型分歧,觀察
