date,game_pk,game_time_tw,game_time_utc,sportsbook,captured_at_tw,matchup_zh,prediction_zh,unified_decision,unified_direction,score_pick_zh,score_alignment,monte_carlo_totals_pick_zh,official_totals_pick_zh,totals_alignment,moneyline,confidence,market_implied_prob,edge,unit,status,settlement,skip_reason,ticket_tier
2026-07-30,824894,2026-07-31 07:15,2026-07-30T23:15:00Z,,,華盛頓國民 @ 亞特蘭大勇士,亞特蘭大勇士,大小分未統一,不推薦,亞特蘭大勇士,一致,大分,大分,等待官方打線,,0.5675,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-07-30,823921,2026-07-31 10:10,2026-07-31T02:10:00Z,,,西雅圖水手 @ 洛杉磯道奇,洛杉磯道奇,大小分未統一,不推薦,洛杉磯道奇,一致,小分,小分,等待官方打線,,0.5537,,,,Scheduled,,整合方向未統一：大小分未統一,觀察
2026-07-30,824974,2026-07-31 09:40,2026-07-31T01:40:00Z,,,波士頓紅襪 @ 運動家,波士頓紅襪,勝方與大小分未統一,不推薦,波士頓紅襪,一致,小分,小分,等待官方打線,,0.549,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-07-30,823271,2026-07-31 09:40,2026-07-31T01:40:00Z,,,舊金山巨人 @ 聖地牙哥教士,聖地牙哥教士,勝方與大小分未統一,不推薦,聖地牙哥教士,一致,小分,小分,等待官方打線,,0.5366,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-07-30,823595,2026-07-31 07:10,2026-07-30T23:10:00Z,,,邁阿密馬林魚 @ 紐約大都會,紐約大都會,勝方與大小分未統一,不推薦,紐約大都會,一致,大分,大分,等待官方打線,,0.5359,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-07-30,823023,2026-07-31 02:15,2026-07-30T18:15:00Z,,,芝加哥小熊 @ 聖路易紅雀,芝加哥小熊,勝方與大小分未統一,不推薦,芝加哥小熊,一致,大分,大分,等待官方打線,,0.5352,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-07-30,824568,2026-07-31 02:10,2026-07-30T18:10:00Z,,,紐約洋基 @ 芝加哥白襪,紐約洋基,勝方與大小分未統一,不推薦,芝加哥白襪,模型分歧,大分,大分,等待官方打線,,0.5329,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-07-30,822946,2026-07-31 00:10,2026-07-30T16:10:00Z,,,德州遊騎兵 @ 坦帕灣光芒,坦帕灣光芒,勝方與大小分未統一,不推薦,坦帕灣光芒,一致,大分,大分,等待官方打線,,0.5224,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-07-30,824488,2026-07-31 07:10,2026-07-30T23:10:00Z,,,匹茲堡海盜 @ 辛辛那提紅人,辛辛那提紅人,勝方與大小分未統一,不推薦,匹茲堡海盜,模型分歧,小分,小分,等待官方打線,,0.5175,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
2026-07-30,823674,2026-07-31 01:40,2026-07-30T17:40:00Z,,,堪薩斯市皇家 @ 明尼蘇達雙城,明尼蘇達雙城,勝方與大小分未統一,不推薦,明尼蘇達雙城,一致,小分,小分,等待官方打線,,0.5127,,,,Scheduled,,整合方向未統一：勝方與大小分未統一,觀察
