比賽ID,台灣時間,對戰,盤口狀態,勝負盤建議,主隊真實勝率,客隊真實勝率,主隊賠率,客隊賠率,勝負盤最高EV,勝負盤資金比例,大小分盤口,大小分建議,大分機率,小分機率,大分賠率,小分賠率,大小分最高EV,大小分資金比例
3018,2026-07-09T03:45:00+08:00,藍鳥 @ 巨人,尚無盤口,不下注,55.2%,44.8%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,49.6%,50.4%,尚無盤口,尚無盤口,0.0,0.0
3019,2026-07-09T06:35:00+08:00,小熊 @ 金鶯,尚無盤口,不下注,47.7%,52.3%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,46.6%,53.4%,尚無盤口,尚無盤口,0.0,0.0
3021,2026-07-09T06:40:00+08:00,勇士 @ 海盜,尚無盤口,不下注,56.3%,43.7%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,62.0%,38.0%,尚無盤口,尚無盤口,0.0,0.0
3023,2026-07-09T06:40:00+08:00,洋基 @ 光芒,尚無盤口,不下注,51.4%,48.6%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,49.1%,50.9%,尚無盤口,尚無盤口,0.0,0.0
3022,2026-07-09T06:40:00+08:00,水手 @ 馬林魚,尚無盤口,不下注,61.7%,38.3%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,54.3%,45.7%,尚無盤口,尚無盤口,0.0,0.0
3020,2026-07-09T06:40:00+08:00,運動家 @ 老虎,尚無盤口,不下注,52.8%,47.2%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,52.9%,47.1%,尚無盤口,尚無盤口,0.0,0.0
3024,2026-07-09T06:45:00+08:00,太空人 @ 國民,尚無盤口,不下注,54.5%,45.5%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,57.8%,42.2%,尚無盤口,尚無盤口,0.0,0.0
3026,2026-07-09T07:10:00+08:00,費城人 @ 紅人,尚無盤口,不下注,51.9%,48.1%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,49.7%,50.3%,尚無盤口,尚無盤口,0.0,0.0
3025,2026-07-09T07:10:00+08:00,皇家 @ 大都會,尚無盤口,不下注,66.0%,34.0%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,48.8%,51.2%,尚無盤口,尚無盤口,0.0,0.0
3028,2026-07-09T07:40:00+08:00,紅襪 @ 白襪,尚無盤口,不下注,63.5%,36.5%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,52.4%,47.6%,尚無盤口,尚無盤口,0.0,0.0
3027,2026-07-09T07:40:00+08:00,守護者 @ 雙城,尚無盤口,不下注,57.3%,42.7%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,52.9%,47.1%,尚無盤口,尚無盤口,0.0,0.0
3029,2026-07-09T07:45:00+08:00,釀酒人 @ 紅雀,尚無盤口,不下注,66.3%,33.7%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,55.9%,44.1%,尚無盤口,尚無盤口,0.0,0.0
3030,2026-07-09T08:05:00+08:00,天使 @ 遊騎兵,尚無盤口,不下注,67.8%,32.2%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,56.9%,43.1%,尚無盤口,尚無盤口,0.0,0.0
3031,2026-07-09T10:10:00+08:00,落磯 @ 道奇,尚無盤口,不下注,72.4%,27.6%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,56.4%,43.6%,尚無盤口,尚無盤口,0.0,0.0
3032,2026-07-09T10:10:00+08:00,響尾蛇 @ 教士,尚無盤口,不下注,42.1%,57.9%,尚無盤口,尚無盤口,0.0,0.0,8.5,不下注,55.7%,44.3%,尚無盤口,尚無盤口,0.0,0.0
