game_pk,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,total_line,over_prob,under_prob,totals_pick
823281,洛杉磯道奇 @ 聖地牙哥教士,10000,6.39,2.55,8.94,0.8101,0.1899,1.23,5.27,台灣運彩,1.45,2.10,0.1204,-0.2863,洛杉磯道奇,projected_recent_lineup_order,7.5,0.5794,0.4206,大分
823037,邁阿密馬林魚 @ 聖路易紅雀,10000,2.79,5.15,7.94,0.2383,0.7617,4.20,1.31,台灣運彩,1.90,1.60,-0.288,0.1367,聖路易紅雀,projected_recent_lineup_order,9.5,0.3117,0.6883,小分
823362,辛辛那提紅人 @ 匹茲堡海盜,10000,2.2,3.52,5.72,0.2983,0.7017,3.35,1.43,台灣運彩,1.95,1.55,-0.2145,0.0565,匹茲堡海盜,official_mlb_boxscore,8.5,0.192,0.808,小分
824744,紐約洋基 @ 波士頓紅襪,10000,5.43,3.33,8.76,0.6666,0.3334,1.50,3.00,台灣運彩,1.78,1.72,0.1048,-0.248,紐約洋基,projected_recent_lineup_order,7.5,0.5669,0.4331,大分
823608,費城費城人 @ 紐約大都會,10000,3.85,2.3,6.15,0.652,0.348,1.53,2.87,台灣運彩,1.46,2.07,-0.0329,-0.1351,不推薦,official_mlb_boxscore,8.5,0.2328,0.7672,小分
824011,運動家 @ 洛杉磯天使,10000,4.58,2.86,7.45,0.6514,0.3486,1.54,2.87,台灣運彩,1.63,1.87,0.0379,-0.1862,運動家,projected_recent_lineup_order,9.5,0.2705,0.7295,小分
823204,亞特蘭大勇士 @ 舊金山巨人,10000,3.25,4.16,7.4,0.3762,0.6238,2.66,1.60,台灣運彩,1.45,2.10,-0.3135,0.1476,舊金山巨人,projected_recent_lineup_order,7.5,0.4326,0.5674,小分
822795,德州遊騎兵 @ 多倫多藍鳥,10000,2.55,3.04,5.58,0.4015,0.5985,2.49,1.67,台灣運彩,1.94,1.56,-0.114,-0.0425,不推薦,projected_recent_lineup_order,8.5,0.1817,0.8183,小分
822959,亞利桑那響尾蛇 @ 坦帕灣光芒,10000,3.71,2.67,6.38,0.5811,0.4189,1.72,2.39,台灣運彩,2.40,1.36,0.1644,-0.3164,亞利桑那響尾蛇,projected_recent_lineup_order,7.5,0.3276,0.6724,小分
824821,華盛頓國民 @ 巴爾的摩金鶯,10000,4.41,3.34,7.75,0.5793,0.4207,1.73,2.38,台灣運彩,2.33,1.38,0.1501,-0.3039,華盛頓國民,official_mlb_boxscore,8.5,0.3815,0.6185,小分
824422,西雅圖水手 @ 克里夫蘭守護者,10000,2.91,2.01,4.92,0.5779,0.4221,1.73,2.37,台灣運彩,1.68,1.82,-0.0173,-0.1274,不推薦,projected_recent_lineup_order,7.5,0.1869,0.8131,小分
823686,科羅拉多洛磯 @ 明尼蘇達雙城,10000,2.86,3.15,6.01,0.4227,0.5773,2.37,1.73,台灣運彩,2.15,1.43,-0.0424,-0.122,不推薦,official_mlb_boxscore,8.5,0.2166,0.7834,小分
824580,堪薩斯市皇家 @ 芝加哥白襪,10000,3.42,2.6,6.02,0.5615,0.4385,1.78,2.28,台灣運彩,1.97,1.53,0.0539,-0.2151,堪薩斯市皇家,official_mlb_boxscore,8.5,0.2229,0.7771,小分
824256,休士頓太空人 @ 底特律老虎,10000,3.19,3.13,6.32,0.477,0.523,2.10,1.91,台灣運彩,1.63,1.87,-0.1365,-0.0118,不推薦,projected_recent_lineup_order,8.5,0.2502,0.7498,小分
823769,芝加哥小熊 @ 密爾瓦基釀酒人,10000,6.64,6.19,12.83,0.5042,0.4958,1.98,2.02,台灣運彩,2.15,1.43,0.0391,-0.2035,芝加哥小熊,projected_recent_lineup_order,8.5,0.772,0.228,大分
