game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,total_line,over_prob,under_prob,totals_pick
823359,2026-07-10 00:35,2026-07-09T16:35:00Z,亞特蘭大勇士 @ 匹茲堡海盜,10000,2.96,4.66,7.62,0.2936,0.7064,3.41,1.42,台灣運彩,1.65,1.85,-0.3125,0.1659,匹茲堡海盜,projected_recent_lineup_order,8.5,0.3711,0.6289,小分
822954,2026-07-10 01:10,2026-07-09T17:10:00Z,紐約洋基 @ 坦帕灣光芒,10000,3.34,3.2,6.54,0.477,0.523,2.10,1.91,台灣運彩,1.80,1.70,-0.0786,-0.0652,不推薦,projected_recent_lineup_order,6.5,,,無大小分盤口
823606,2026-07-10 01:10,2026-07-09T17:10:00Z,堪薩斯市皇家 @ 紐約大都會,10000,2.95,3.02,5.97,0.4563,0.5437,2.19,1.84,台灣運彩,2.00,1.50,-0.0437,-0.123,不推薦,projected_recent_lineup_order,9.5,0.1488,0.8512,小分
823683,2026-07-10 01:40,2026-07-09T17:40:00Z,克里夫蘭守護者 @ 明尼蘇達雙城,10000,2.14,4.53,6.67,0.2137,0.7863,4.68,1.27,台灣運彩,1.60,1.90,-0.4113,0.26,明尼蘇達雙城,projected_recent_lineup_order,8.5,0.2839,0.7161,小分
824577,2026-07-10 02:10,2026-07-09T18:10:00Z,波士頓紅襪 @ 芝加哥白襪,10000,3.83,4.04,7.86,0.4406,0.5594,2.27,1.79,台灣運彩,1.84,1.66,-0.1029,-0.043,不推薦,projected_recent_lineup_order,8.5,0.3953,0.6047,小分
824816,2026-07-10 06:35,2026-07-09T22:35:00Z,芝加哥小熊 @ 巴爾的摩金鶯,10000,5.71,1.76,7.48,0.8437,0.1563,1.19,6.40,台灣運彩,1.92,1.58,0.3229,-0.4766,芝加哥小熊,projected_recent_lineup_order,9.5,0.2744,0.7256,小分
823846,2026-07-10 06:40,2026-07-09T22:40:00Z,西雅圖水手 @ 邁阿密馬林魚,10000,2.31,6.84,9.15,0.1129,0.8871,8.86,1.13,台灣運彩,1.50,2.00,-0.5538,0.3871,邁阿密馬林魚,projected_recent_lineup_order,8.5,0.5157,0.4843,大分
824251,2026-07-10 06:40,2026-07-09T22:40:00Z,運動家 @ 底特律老虎,10000,4.25,1.74,5.99,0.7537,0.2463,1.33,4.06,台灣運彩,1.98,1.52,0.2486,-0.4116,運動家,projected_recent_lineup_order,8.5,0.2173,0.7827,小分
824494,2026-07-10 07:10,2026-07-09T23:10:00Z,費城費城人 @ 辛辛那提紅人,10000,4.49,1.83,6.32,0.771,0.229,1.30,4.37,台灣運彩,1.43,2.15,0.0717,-0.2361,費城費城人,projected_recent_lineup_order,9.5,0.1799,0.8201,小分
823034,2026-07-10 07:45,2026-07-09T23:45:00Z,密爾瓦基釀酒人 @ 聖路易紅雀,10000,3.47,4.94,8.42,0.324,0.676,3.09,1.48,DraftKings,-126,+104,-0.2335,0.1858,聖路易紅雀,projected_recent_lineup_order,8.5,,,無大小分盤口
822877,2026-07-10 08:05,2026-07-10T00:05:00Z,洛杉磯天使 @ 德州遊騎兵,10000,2.35,2.81,5.17,0.397,0.603,2.52,1.66,台灣運彩,1.95,1.55,-0.1158,-0.0422,不推薦,projected_recent_lineup_order,7.5,0.2027,0.7973,小分
823277,2026-07-10 09:40,2026-07-10T01:40:00Z,亞利桑那響尾蛇 @ 聖地牙哥教士,10000,2.01,2.49,4.5,0.3833,0.6167,2.61,1.62,台灣運彩,1.95,1.55,-0.1295,-0.0285,不推薦,projected_recent_lineup_order,8.5,0.0963,0.9037,小分
823201,2026-07-10 09:45,2026-07-10T01:45:00Z,科羅拉多洛磯 @ 舊金山巨人,10000,4.42,2.65,7.08,0.6577,0.3423,1.52,2.92,,,,,,不推薦,projected_recent_lineup_order,7.0,,,無大小分盤口
