game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,source,data_quality,raw_avg_away_score,raw_avg_home_score,raw_avg_total,total_line,over_prob,under_prob,totals_pick
824224,2026-09-13 01:10,2026-09-12T17:10:00Z,科羅拉多洛磯 @ 底特律老虎,10000,3.76,4.81,8.57,0.3482,0.6518,2.87,1.53,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.39,1.84,5.23,8.5,,,無大小分盤口
823496,2026-09-13 01:35,2026-09-12T17:35:00Z,紐約大都會 @ 紐約洋基,10000,4.3,5.04,9.34,0.4493,0.5507,2.23,1.82,DraftKings,+152,-185,0.0525,-0.0984,紐約大都會,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,5.6,4.63,10.24,9.5,,,無大小分盤口
824630,2026-09-13 02:20,2026-09-12T18:20:00Z,匹茲堡海盜 @ 芝加哥小熊,10000,4.05,5.55,9.6,0.4326,0.5674,2.31,1.76,DraftKings,+104,-126,-0.0576,0.0099,芝加哥小熊,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.77,6.39,9.16,9.5,,,無大小分盤口
822768,2026-09-13 03:07,2026-09-12T19:07:00Z,巴爾的摩金鶯 @ 多倫多藍鳥,10000,3.63,4.26,7.89,0.3971,0.6029,2.52,1.66,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.56,2.97,6.53,8.0,,,無大小分盤口
822685,2026-09-13 04:05,2026-09-12T20:05:00Z,洛杉磯天使 @ 華盛頓國民,10000,4.03,4.17,8.2,0.4797,0.5203,2.08,1.92,DraftKings,-102,-118,-0.0253,-0.021,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,1.87,3.76,5.63,8.0,,,無大小分盤口
823170,2026-09-13 04:05,2026-09-12T20:05:00Z,聖地牙哥教士 @ 舊金山巨人,10000,3.73,4.04,7.77,0.5131,0.4869,1.95,2.05,DraftKings,-162,+134,-0.1052,0.0595,舊金山巨人,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.13,4.6,7.73,8.0,,,無大小分盤口
823657,2026-09-13 04:10,2026-09-12T20:10:00Z,克里夫蘭守護者 @ 明尼蘇達雙城,10000,4.32,4.33,8.65,0.5532,0.4468,1.81,2.24,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.11,3.33,5.44,8.5,,,無大小分盤口
823819,2026-09-13 04:10,2026-09-12T20:10:00Z,洛杉磯道奇 @ 邁阿密馬林魚,10000,4.74,3.93,8.67,0.574,0.426,1.74,2.35,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.74,4.51,8.24,8.5,,,無大小分盤口
824712,2026-09-13 04:10,2026-09-12T20:10:00Z,堪薩斯市皇家 @ 波士頓紅襪,10000,3.99,3.99,7.98,0.4899,0.5101,2.04,1.96,DraftKings,+157,-192,0.1008,-0.1474,堪薩斯市皇家,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.51,3.28,6.79,8.0,,,無大小分盤口
822927,2026-09-13 06:10,2026-09-12T22:10:00Z,休士頓太空人 @ 坦帕灣光芒,10000,4.08,4.42,8.5,0.4518,0.5482,2.21,1.82,DraftKings,+123,-149,0.0034,-0.0502,休士頓太空人,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.49,3.9,7.39,8.5,,,無大小分盤口
823737,2026-09-13 07:10,2026-09-12T23:10:00Z,辛辛那提紅人 @ 密爾瓦基釀酒人,10000,4.17,5.79,9.96,0.3666,0.6334,2.73,1.58,,,,,,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.59,3.32,6.91,10.0,,,無大小分盤口
823009,2026-09-13 07:15,2026-09-12T23:15:00Z,芝加哥白襪 @ 聖路易紅雀,10000,4.53,4.99,9.52,0.3403,0.6597,2.94,1.52,DraftKings,-105,-114,-0.1719,0.127,聖路易紅雀,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.28,3.63,5.91,9.5,,,無大小分盤口
824870,2026-09-13 07:15,2026-09-12T23:15:00Z,費城費城人 @ 亞特蘭大勇士,10000,4.19,3.69,7.88,0.5873,0.4127,1.70,2.42,DraftKings,-126,+105,0.0298,-0.0751,費城費城人,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.26,3.13,7.39,8.0,,,無大小分盤口
825035,2026-09-13 08:10,2026-09-13T00:10:00Z,德州遊騎兵 @ 亞利桑那響尾蛇,10000,4.1,4.28,8.38,0.4974,0.5026,2.01,1.99,DraftKings,+119,-143,0.0408,-0.0859,德州遊騎兵,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.16,2.63,6.78,8.5,,,無大小分盤口
824955,2026-09-13 09:40,2026-09-13T01:40:00Z,西雅圖水手 @ 運動家,10000,4.27,4.57,8.84,0.4396,0.5604,2.27,1.78,DraftKings,-174,+144,-0.1954,0.1506,運動家,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.19,2.73,4.91,9.0,,,無大小分盤口
