date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-08-23,822856,,,洛杉磯天使,德州遊騎兵,,
2026-08-23,823099,DraftKings,2026-08-23T07:20:08,芝加哥小熊,西雅圖水手,-110,-110
2026-08-23,823258,DraftKings,2026-08-23T07:20:08,明尼蘇達雙城,聖地牙哥教士,+118,-142
2026-08-23,823421,DraftKings,2026-08-23T07:20:08,聖路易紅雀,費城費城人,+181,-223
2026-08-23,823507,DraftKings,2026-08-23T07:20:08,多倫多藍鳥,紐約洋基,+112,-135
2026-08-23,823745,DraftKings,2026-08-23T07:20:08,亞特蘭大勇士,密爾瓦基釀酒人,+109,-132
2026-08-23,823827,DraftKings,2026-08-23T07:20:08,華盛頓國民,邁阿密馬林魚,+135,-163
2026-08-23,823909,DraftKings,2026-08-23T07:20:08,匹茲堡海盜,洛杉磯道奇,+224,-280
2026-08-23,824071,,,底特律老虎,堪薩斯市皇家,,
2026-08-23,824150,,,運動家,休士頓太空人,,
2026-08-23,824315,DraftKings,2026-08-23T07:20:08,克里夫蘭守護者,科羅拉多洛磯,-175,+144
2026-08-23,824558,,,紐約大都會,芝加哥白襪,,
2026-08-23,824720,,,舊金山巨人,波士頓紅襪,,
2026-08-23,824799,DraftKings,2026-08-23T07:20:08,坦帕灣光芒,巴爾的摩金鶯,-120,+100
2026-08-23,825043,DraftKings,2026-08-23T07:20:08,辛辛那提紅人,亞利桑那響尾蛇,+113,-136
