date,captured_at_tw,sportsbook,game_pk,official_event_id,event_no,kickoff_tw,away_zh,home_zh,matchup_zh,market_id,market_ti,market_name,selection_id,selection_name,selection_side,selection_line,odds_decimal,pd,pu,raw_v,raw_hv,raw_cn
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459210.1,354,不讓分,252884879.1,克里夫蘭守護者,H,,1.58,50,29,H,,1
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459210.1,354,不讓分,252884880.1,匹茲堡海盜,A,,1.92,25,23,A,,2
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459220.1,357,勝分差,252884899.1,克里夫蘭守護者 1 分,H,,3.80,5,14,H,,
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459220.1,357,勝分差,252884900.1,克里夫蘭守護者 2 分,H,,6.50,2,11,H,,
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459220.1,357,勝分差,252884901.1,克里夫蘭守護者 > 2分,H,,2.70,10,17,H,,
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459220.1,357,勝分差,252884902.1,匹茲堡海盜 1 分,A,,5.40,5,22,A,,
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459220.1,357,勝分差,252884903.1,匹茲堡海盜 2 分,A,,7.00,1,6,A,,
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459220.1,357,勝分差,252884904.1,匹茲堡海盜 > 2分,A,,3.00,1,2,A,,
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459215.1,358,讓分 -1.5,252884889.1,克里夫蘭守護者 -1.5,H,-1.5,2.15,20,23,H,-1.5,1
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459215.1,358,讓分 -1.5,252884890.1,匹茲堡海盜 +1.5,A,-1.5,1.43,100,43,A,-1.5,2
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459217.1,358,讓分 -2.5,252884893.1,克里夫蘭守護者 -2.5,H,-2.5,2.75,4,7,H,-2.5,1
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459217.1,358,讓分 -2.5,252884894.1,匹茲堡海盜 +2.5,A,-2.5,1.26,50,13,A,-2.5,2
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459213.1,360,[總分]大小 7.5,252884886.1,大 7.5,A,7.5,1.79,100,79,A,7.5,
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459213.1,360,[總分]大小 7.5,252884885.1,小 7.5,H,7.5,1.71,100,71,H,7.5,
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459216.1,360,[總分]大小 8.5,252884892.1,大 8.5,A,8.5,2.00,1,1,A,8.5,
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459216.1,360,[總分]大小 8.5,252884891.1,小 8.5,H,8.5,1.50,2,1,H,8.5,
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459218.1,360,[總分]大小 6.5,252884896.1,大 6.5,A,6.5,1.46,50,23,A,6.5,
2026-07-19,2026-07-19T00:06:15,台灣運彩,824411,3478453.1,135,2026-07-19T01:10:00+08:00,匹茲堡海盜,克里夫蘭守護者,匹茲堡海盜 @ 克里夫蘭守護者,51459218.1,360,[總分]大小 6.5,252884895.1,小 6.5,H,6.5,2.07,100,107,H,6.5,
