date,game_pk,game_type,status,coded_state,home_team_id,home,home_zh,away_team_id,away,away_zh,home_score,away_score,home_win,home_probable_pitcher_id,home_probable_pitcher,home_probable_pitcher_zh,away_probable_pitcher_id,away_probable_pitcher,away_probable_pitcher_zh
2025-03-27,778545,R,Final,F,135,San Diego Padres,聖地牙哥教士,144,Atlanta Braves,亞特蘭大勇士,7,4,True,650633,Michael King,麥可 金恩,519242,Chris Sale,克里斯 塞爾
2025-03-27,778546,R,Final,F,119,Los Angeles Dodgers,洛杉磯道奇,116,Detroit Tigers,底特律老虎,5,4,True,605483,Blake Snell,布雷克 史奈爾,669373,Tarik Skubal,塔里克 史庫柏
2025-03-27,778547,R,Final,F,136,Seattle Mariners,西雅圖水手,133,Athletics,運動家,4,2,True,669302,Logan Gilbert,羅根 吉爾伯特,622663,Luis Severino,路易斯 塞維里諾
2025-03-27,778551,R,Final,F,138,St. Louis Cardinals,聖路易紅雀,142,Minnesota Twins,明尼蘇達雙城,5,3,True,543243,Sonny Gray,桑尼 葛雷,641154,Pablo López,帕布羅 羅培茲
2025-03-27,778552,R,Final,F,109,Arizona Diamondbacks,亞利桑那響尾蛇,112,Chicago Cubs,芝加哥小熊,6,10,False,668678,Zac Gallen,札 加,657006,Justin Steele,賈斯汀 史提爾
2025-03-27,778553,R,Final,F,140,Texas Rangers,德州遊騎兵,111,Boston Red Sox,波士頓紅襪,2,5,False,543135,Nathan Eovaldi,奈森 伊瓦迪,676979,Garrett Crochet,加 查
2025-03-27,778554,R,Final,F,145,Chicago White Sox,芝加哥白襪,108,Los Angeles Angels,洛杉磯天使,8,1,True,680732,Sean Burke,西恩 布優爾克伊,579328,Yusei Kikuchi,菊池雄星
2025-03-27,778555,R,Final,F,120,Washington Nationals,華盛頓國民,143,Philadelphia Phillies,費城費城人,3,7,False,669022,MacKenzie Gore,馬 戈爾,554430,Zack Wheeler,札 惠勒
2025-03-27,778556,R,Final,F,141,Toronto Blue Jays,多倫多藍鳥,110,Baltimore Orioles,巴爾的摩金鶯,2,12,False,621244,José Berríos,荷西 貝里歐斯,621107,Zach Eflin,札查 艾
2025-03-27,778557,R,Final,F,147,New York Yankees,紐約洋基,158,Milwaukee Brewers,密爾瓦基釀酒人,4,2,True,607074,Carlos Rodón,卡洛斯 羅多,642547,Freddy Peralta,佛萊迪 佩拉
2025-03-27,778558,R,Final,F,118,Kansas City Royals,堪薩斯市皇家,114,Cleveland Guardians,克里夫蘭守護者,4,7,False,666142,Cole Ragans,柯爾 雷根斯,594902,Ben Lively,貝 里維
2025-03-27,778559,R,Final,F,117,Houston Astros,休士頓太空人,121,New York Mets,紐約大都會,3,1,True,664285,Framber Valdez,弗蘭伯 瓦德茲,605280,Clay Holmes,克爾阿伊 霍
2025-03-27,778561,R,Final,F,113,Cincinnati Reds,辛辛那提紅人,137,San Francisco Giants,舊金山巨人,4,6,False,668881,Hunter Greene,杭特 葛林,657277,Logan Webb,羅根 韋伯
2025-03-27,778562,R,Final,F,146,Miami Marlins,邁阿密馬林魚,134,Pittsburgh Pirates,匹茲堡海盜,5,4,True,645261,Sandy Alcantara,桑迪 阿爾坎塔拉,694973,Paul Skenes,保羅 史基恩斯
2025-03-28,778518,R,Final,F,117,Houston Astros,休士頓太空人,121,New York Mets,紐約大都會,1,3,False,686613,Hunter Brown,杭特 布朗,656731,Tylor Megill,特伊爾歐爾 梅吉
2025-03-28,778541,R,Final,F,136,Seattle Mariners,西雅圖水手,133,Athletics,運動家,0,7,False,622491,Luis Castillo,路易斯 卡史,605488,Jeffrey Springs,傑 斯普爾伊恩格斯
2025-03-28,778542,R,Final,F,135,San Diego Padres,聖地牙哥教士,144,Atlanta Braves,亞特蘭大勇士,4,3,True,656302,Dylan Cease,迪倫 希斯,625643,Reynaldo López,雷納 羅培茲
2025-03-28,778543,R,Final,F,109,Arizona Diamondbacks,亞利桑那響尾蛇,112,Chicago Cubs,芝加哥小熊,8,1,True,518876,Merrill Kelly,梅 凱,592791,Jameson Taillon,賈梅索 塔
2025-03-28,778544,R,Final,F,119,Los Angeles Dodgers,洛杉磯道奇,116,Detroit Tigers,底特律老虎,8,5,True,808967,Yoshinobu Yamamoto,山本由伸,656427,Jack Flaherty,傑克 赫
2025-03-28,778548,R,Final,F,146,Miami Marlins,邁阿密馬林魚,134,Pittsburgh Pirates,匹茲堡海盜,3,4,False,687362,Connor Gillispie,柯 吉,656605,Mitch Keller,米 凱勒
2025-03-28,778549,R,Final,F,141,Toronto Blue Jays,多倫多藍鳥,110,Baltimore Orioles,巴爾的摩金鶯,8,2,True,592332,Kevin Gausman,凱文 高斯曼,450203,Charlie Morton,查 莫
2025-03-28,778550,R,Final,F,140,Texas Rangers,德州遊騎兵,111,Boston Red Sox,波士頓紅襪,4,1,True,683004,Jack Leiter,傑克 雷特,656557,Tanner Houck,坦納 霍
2025-03-28,778560,R,Final,F,139,Tampa Bay Rays,坦帕灣光芒,115,Colorado Rockies,科羅拉多洛磯,3,2,True,686752,Ryan Pepiot,萊恩 佩皮,607536,Kyle Freeland,凱爾 拉
2025-03-29,778520,R,Final,F,135,San Diego Padres,聖地牙哥教士,144,Atlanta Braves,亞特蘭大勇士,1,0,True,681190,Randy Vásquez,拉 瓦,680885,Spencer Schwellenbach,史賓塞 查
2025-03-29,778521,R,Final,F,136,Seattle Mariners,西雅圖水手,133,Athletics,運動家,2,4,False,682243,Bryce Miller,布萊斯 米勒,674370,Osvaldo Bido,歐 比多
2025-03-29,778528,R,Final,F,138,St. Louis Cardinals,聖路易紅雀,142,Minnesota Twins,明尼蘇達雙城,5,1,True,607200,Erick Fedde,艾里 菲,657746,Joe Ryan,喬 萊恩
2025-03-29,778529,R,Final,F,118,Kansas City Royals,堪薩斯市皇家,114,Cleveland Guardians,克里夫蘭守護者,4,3,True,607625,Seth Lugo,賽斯 盧戈,668909,Gavin Williams,加維 威
2025-03-29,778530,R,Final,F,117,Houston Astros,休士頓太空人,121,New York Mets,紐約大都會,2,1,True,681293,Spencer Arrighetti,史賓塞 阿,656288,Griffin Canning,葛里芬 卡
2025-03-29,778531,R,Final,F,140,Texas Rangers,德州遊騎兵,111,Boston Red Sox,波士頓紅襪,4,3,True,641816,Tyler Mahle,泰勒 馬,621111,Walker Buehler,沃克 布優伊赫爾伊爾
2025-03-29,778532,R,Final,F,109,Arizona Diamondbacks,亞利桑那響尾蛇,112,Chicago Cubs,芝加哥小熊,3,4,False,694297,Brandon Pfaadt,布蘭登 普夫阿阿德特,684007,Shota Imanaga,今永昇太
2025-03-29,778533,R,Final,F,119,Los Angeles Dodgers,洛杉磯道奇,116,Detroit Tigers,底特律老虎,7,3,True,808963,Roki Sasaki,羅基 薩薩基,681857,Reese Olson,雷塞 歐
2025-03-29,778534,R,Final,F,145,Chicago White Sox,芝加哥白襪,108,Los Angeles Angels,洛杉磯天使,0,1,False,686563,Jonathan Cannon,喬納 卡,667755,José Soriano,荷西 索里諾
2025-03-29,778535,R,Final,F,120,Washington Nationals,華盛頓國民,143,Philadelphia Phillies,費城費城人,6,11,False,663623,Jake Irvin,傑克 厄文,666200,Jesús Luzardo,赫蘇斯 路札
2025-03-29,778536,R,Final,F,141,Toronto Blue Jays,多倫多藍鳥,110,Baltimore Orioles,巴爾的摩金鶯,5,9,False,453286,Max Scherzer,麥斯 薛澤,665152,Dean Kremer,德 梅
2025-03-29,778537,R,Final,F,139,Tampa Bay Rays,坦帕灣光芒,115,Colorado Rockies,科羅拉多洛磯,1,2,False,641793,Zack Littell,札 里,622608,Antonio Senzatela,阿尼 塞特拉
2025-03-29,778538,R,Final,F,147,New York Yankees,紐約洋基,158,Milwaukee Brewers,密爾瓦基釀酒人,20,9,True,608331,Max Fried,麥斯 弗里德,641482,Nestor Cortes,內史 柯
2025-03-29,778539,R,Final,F,146,Miami Marlins,邁阿密馬林魚,134,Pittsburgh Pirates,匹茲堡海盜,5,4,True,678368,Valente Bellozo,瓦雷 貝,663559,Bailey Falter,貝利 法
2025-03-29,778540,R,Final,F,113,Cincinnati Reds,辛辛那提紅人,137,San Francisco Giants,舊金山巨人,3,2,True,666157,Nick Lodolo,尼克 羅多羅,434378,Justin Verlander,賈斯汀 維
2025-03-30,778510,R,Final,F,118,Kansas City Royals,堪薩斯市皇家,114,Cleveland Guardians,克里夫蘭守護者,2,6,False,608379,Michael Wacha,麥可 瓦查,676440,Tanner Bibee,坦納 比貝
2025-03-30,778513,R,Final,F,136,Seattle Mariners,西雅圖水手,133,Athletics,運動家,2,1,True,693433,Bryan Woo,布萊恩 沃歐歐,676664,JP Sears,傑普 塞
2025-03-30,778514,R,Final,F,135,San Diego Padres,聖地牙哥教士,144,Atlanta Braves,亞特蘭大勇士,5,0,True,601713,Nick Pivetta,尼克 皮維,700363,AJ Smith-Shawver,阿 斯姆伊特赫 斯赫阿沃維伊爾
2025-03-30,778515,R,Final,F,109,Arizona Diamondbacks,亞利桑那響尾蛇,112,Chicago Cubs,芝加哥小熊,10,6,True,593958,Eduardo Rodriguez,愛德華多 羅,571510,Matthew Boyd,馬 波
2025-03-30,778516,R,Final,F,140,Texas Rangers,德州遊騎兵,111,Boston Red Sox,波士頓紅襪,3,2,True,594798,Jacob deGrom,雅各布 迪葛隆,690916,Richard Fitts,里查 費
2025-03-30,778517,R,Final,F,138,St. Louis Cardinals,聖路易紅雀,142,Minnesota Twins,明尼蘇達雙城,9,2,True,669467,Andre Pallante,阿 帕,641927,Bailey Ober,貝利 歐伯
2025-03-30,778519,R,Final,F,146,Miami Marlins,邁阿密馬林魚,134,Pittsburgh Pirates,匹茲堡海盜,3,2,True,676974,Max Meyer,麥斯 梅,571760,Andrew Heaney,安德魯 赫內
2025-03-30,778522,R,Final,F,113,Cincinnati Reds,辛辛那提紅人,137,San Francisco Giants,舊金山巨人,3,6,False,607259,Nick Martinez,尼克 馬內,592662,Robbie Ray,羅 拉
2025-03-30,778523,R,Final,F,147,New York Yankees,紐約洋基,158,Milwaukee Brewers,密爾瓦基釀酒人,12,3,True,573186,Marcus Stroman,馬庫斯 史馬,650644,Aaron Civale,亞倫 西瓦雷
2025-03-30,778524,R,Final,F,139,Tampa Bay Rays,坦帕灣光芒,115,Colorado Rockies,科羅拉多洛磯,6,4,True,671737,Taj Bradley,塔 布,663372,Ryan Feltner,萊恩 菲
2025-03-30,778525,R,Final,F,141,Toronto Blue Jays,多倫多藍鳥,110,Baltimore Orioles,巴爾的摩金鶯,3,1,True,605135,Chris Bassitt,克里斯 巴希特,608372,Tomoyuki Sugano,托莫基 加諾
2025-03-30,778526,R,Final,F,120,Washington Nationals,華盛頓國民,143,Philadelphia Phillies,費城費城人,5,1,True,680730,Mitchell Parker,米 帕,605400,Aaron Nola,亞倫 諾拉
2025-03-30,778527,R,Final,F,145,Chicago White Sox,芝加哥白襪,108,Los Angeles Angels,洛杉磯天使,2,3,False,663436,Davis Martin,達維 馬,686799,Jack Kochanowicz,傑克 柯查諾威
2025-03-31,778496,R,Final,F,136,Seattle Mariners,西雅圖水手,116,Detroit Tigers,底特律老虎,6,9,False,676106,Emerson Hancock,艾梅 哈,695549,Jackson Jobe,賈 喬貝
2025-03-31,778499,R,Final,F,135,San Diego Padres,聖地牙哥教士,114,Cleveland Guardians,克里夫蘭守護者,7,2,True,606996,Kyle Hart,凱爾 哈,682847,Luis Ortiz,路易斯 歐
2025-03-31,778500,R,Final,F,119,Los Angeles Dodgers,洛杉磯道奇,144,Atlanta Braves,亞特蘭大勇士,6,1,True,607192,Tyler Glasnow,泰勒 葛拉斯諾,656550,Grant Holmes,葛 霍
2025-03-31,778501,R,Final,F,133,Athletics,運動家,112,Chicago Cubs,芝加哥小熊,3,18,False,683155,Joey Estes,喬 艾史,676962,Ben Brown,貝 布朗
2025-03-31,778502,R,Final,F,143,Philadelphia Phillies,費城費城人,115,Colorado Rockies,科羅拉多洛磯,6,1,True,650911,Cristopher Sánchez,史 薩,608566,Germán Márquez,傑 馬
2025-03-31,778503,R,Final,F,138,St. Louis Cardinals,聖路易紅雀,108,Los Angeles Angels,洛杉磯天使,4,5,False,571945,Miles Mikolas,麥爾斯 米柯拉,542881,Tyler Anderson,泰勒 阿
2025-03-31,778504,R,Final,F,158,Milwaukee Brewers,密爾瓦基釀酒人,118,Kansas City Royals,堪薩斯市皇家,1,11,False,660730,Elvin Rodríguez,艾 羅,663460,Kris Bubic,克爾伊斯 比
2025-03-31,778505,R,Final,F,117,Houston Astros,休士頓太空人,137,San Francisco Giants,舊金山巨人,2,7,False,669854,Ronel Blanco,羅內 布爾阿恩克歐,663855,Jordan Hicks,喬 希
2025-03-31,778506,R,Final,F,145,Chicago White Sox,芝加哥白襪,142,Minnesota Twins,明尼蘇達雙城,9,0,True,527048,Martín Pérez,馬 佩雷,663978,Chris Paddack,克里斯 帕
